"Match.Id","Round.Id","Competition.Id","Venue","Local.Start.Time","Round.Number","Round.Abbreviation","Weather.Type","Weather.Description","Temperature","team","goals","behinds","points_for","behinds_left","behinds_right","posters_left","posters_right","behinds_rushed","behinds_touched","points_against","home_or_away","score_margin","match_outcome","team_abbr","team_id","team_nickname","bounces","clangers","clearances_centre","clearances_stoppage","clearances_total","marks_contested","possessions_contested","disposals_efficiency","disposals","dream_team_points","frees_against","frees_for","goal_accuracy","goal_assists","goal_efficiency","handballs","hitouts","inside50s","intercepts","kicks","marks","marks_inside50","one_percenters","rebound50s","shot_efficiency","shots_at_goal","tackles","tackles_inside50","possessions_total","turnovers","possessions_uncontested"
"CD_M20172640303","CD_R201726403","CD_S2017264","VU Whitten Oval",2017-02-18 19:40:00,3,"Rd 3","MOSTLY_SUNNY","Partly cloudy",18,"Western Bulldogs",4,5,29,3,1,1,0,0,0,43,"Home",-14,"Loss","WB","CD_T7387","Bulldogs",6,38,5,14,19,2,91,52.9,170,755,12,17,44.4,1,18.2,73,24,22,56,97,16,0,24,23,40.9,9,59,15,171,53,80
"CD_M20172640303","CD_R201726403","CD_S2017264","VU Whitten Oval",2017-02-18 19:40:00,3,"Rd 3","MOSTLY_SUNNY","Partly cloudy",18,"Melbourne",6,7,43,1,5,0,1,0,0,29,"Away",14,"Win","MELB","CD_T7386","Demons",1,41,6,19,25,6,98,62.3,223,947,17,12,35.3,3,20,80,23,30,53,143,45,8,21,18,56.7,17,49,9,224,56,126
"CD_M20172640304","CD_R201726403","CD_S2017264","Thebarton Oval",2017-02-19 11:35:00,3,"Rd 3","RAIN","Shower or two",21,"Adelaide Crows",2,5,17,2,0,0,0,3,0,14,"Home",3,"Win","ADEL","CD_T8098","Crows",2,39,3,16,19,3,97,54,176,870,8,15,16.7,2,5.7,54,18,35,57,122,30,6,23,14,34.3,12,70,17,174,53,77
"CD_M20172640304","CD_R201726403","CD_S2017264","Thebarton Oval",2017-02-19 11:35:00,3,"Rd 3","RAIN","Shower or two",21,"Carlton",2,2,14,0,1,1,0,0,0,17,"Away",-3,"Loss","CARL","CD_T8096","Blues",3,40,3,15,18,5,99,56.5,177,830,15,8,28.6,2,11.1,57,28,18,54,120,37,7,25,31,38.9,7,60,4,177,54,78
"CD_M20172640401","CD_R201726404","CD_S2017264","Casey Fields",2017-02-25 11:35:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Melbourne",6,6,42,2,2,0,1,1,0,36,"Home",6,"Win","MELB","CD_T7386","Demons",4,46,5,17,22,8,112,60.4,245,1048,13,11,40,4,27.3,102,19,22,57,143,50,7,23,22,68.2,15,58,13,247,49,135
"CD_M20172640401","CD_R201726404","CD_S2017264","Casey Fields",2017-02-25 11:35:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Carlton",5,6,36,0,1,2,1,2,0,42,"Away",-6,"Loss","CARL","CD_T8096","Blues",2,37,8,12,20,5,89,49.4,154,718,11,13,41.7,3,17.9,46,21,28,50,108,31,7,19,15,42.9,12,43,8,159,57,70
"CD_M20172640402","CD_R201726404","CD_S2017264","South Pine Sports Complex",2017-02-25 15:35:00,4,"Rd 4","MOSTLY_SUNNY","Mostly clear",18,"Brisbane Lions",6,7,43,5,1,0,0,1,0,9,"Home",34,"Win","BL","CD_T7887","Lions",4,43,4,12,16,11,93,52.8,161,804,16,16,37.5,3,22.2,43,31,27,56,118,34,9,13,15,59.3,16,55,19,163,44,70
"CD_M20172640402","CD_R201726404","CD_S2017264","South Pine Sports Complex",2017-02-25 15:35:00,4,"Rd 4","MOSTLY_SUNNY","Mostly clear",18,"GWS Giants",1,3,9,1,1,1,0,0,0,43,"Away",-34,"Loss","GWS","CD_T7889","Giants",0,42,6,18,24,4,82,45.6,147,658,16,16,16.7,0,5.9,48,26,17,44,99,22,2,14,21,35.3,6,49,2,146,56,64
"CD_M20172640403","CD_R201726404","CD_S2017264","VU Whitten Oval",2017-02-25 19:10:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Western Bulldogs",3,7,25,3,3,0,0,1,0,32,"Home",-7,"Loss","WB","CD_T7387","Bulldogs",3,26,2,22,24,3,78,52.9,153,752,12,14,30,1,13,66,29,23,38,87,21,2,28,16,43.5,10,66,14,155,34,77
"CD_M20172640403","CD_R201726404","CD_S2017264","VU Whitten Oval",2017-02-25 19:10:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Collingwood",5,2,32,0,2,0,0,0,0,25,"Away",7,"Win","COLL","CD_T8097","Magpies",9,34,2,20,22,2,69,61.5,135,745,14,12,62.5,1,23.8,36,45,21,35,99,31,1,27,19,38.1,8,59,4,138,38,69
"CD_M20172640404","CD_R201726404","CD_S2017264","Fremantle Oval",2017-02-26 16:05:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Fremantle",3,5,23,3,2,0,0,0,0,46,"Home",-23,"Loss","FRE","CD_T7886","Freo",5,43,6,14,20,5,104,53.2,201,939,10,14,27.3,2,10.7,62,15,28,66,139,36,3,11,22,39.3,11,67,8,193,73,89
"CD_M20172640404","CD_R201726404","CD_S2017264","Fremantle Oval",2017-02-26 16:05:00,4,"Rd 4","CLEAR_NIGHT","Clear",18,"Adelaide Crows",6,10,46,3,4,1,0,2,0,23,"Away",23,"Win","ADEL","CD_T8098","Crows",1,48,4,10,14,6,113,54.4,217,975,14,10,31.6,3,20,81,28,30,73,136,37,8,16,25,63.3,19,63,10,212,64,99
